title,author,belongTo,id
題王侍禁壁,張舜民,json/poet.song.47000.json,22c99df5-bb2e-51b4-9b0a-0083fa4dc418
溫泉,張舜民,json/poet.song.47000.json,736ba022-a855-50bf-969d-1f40a06f47f8
愈泉,張舜民,json/poet.song.47000.json,5289a8ed-ad9c-5ca0-ad1f-79d3d475078c
焦君以錦雞爲贈文彩可愛性復馴狎終日爲家貓所困因遂挈還仍嗣短句,張舜民,json/poet.song.47000.json,37c1b0a3-a47a-514f-9114-bddf05ae63bc
句  其一,張舜民,json/poet.song.47000.json,6ba0955c-1a36-5257-b649-d9411e1f0ef9
句  其二,張舜民,json/poet.song.47000.json,875c50c9-d868-549c-b5ee-fe9ea5329cbd
句  其三,張舜民,json/poet.song.47000.json,d9e232ee-b3c9-54ff-bef7-0be4a2b7d11e
句  其四,張舜民,json/poet.song.47000.json,3b0f2bb6-8651-5c1a-b6ae-5d2760720dff
句  其五,張舜民,json/poet.song.47000.json,94e57d98-93d7-5e10-bf12-cffbc80a98f3
句  其六,張舜民,json/poet.song.47000.json,beea6a38-87c7-5eb5-9366-9f89bd05ddab
句  其七,張舜民,json/poet.song.47000.json,32fb396e-1ba0-50b1-92f6-ba8aacdbc65c
句  其八,張舜民,json/poet.song.47000.json,1279df85-ff9b-5541-bb48-613e9d5de4a1
句  其九,張舜民,json/poet.song.47000.json,7ef936f2-7a6c-54ec-8ebd-e461c13274e9
句  其一○,張舜民,json/poet.song.47000.json,a1f2e9f4-4ebb-53ed-a5f0-15e6e50bb7aa
句  其一一,張舜民,json/poet.song.47000.json,844da66b-a3ed-59b7-9b65-590978826b5b
句  其一二,張舜民,json/poet.song.47000.json,005cc79a-291c-54fd-93d8-56e7bf768d89
句  其一三,張舜民,json/poet.song.47000.json,0376ba1b-1f2a-5cf4-9f54-9fc511523f8c
句  其一四,張舜民,json/poet.song.47000.json,7b97f9de-edc3-5bdb-aa5a-af8d8221c980
句  其一五,張舜民,json/poet.song.47000.json,02951f54-a3e7-549c-8771-a19e58b9cf76
句  其一六,張舜民,json/poet.song.47000.json,cb06cbb7-9b4e-5d67-9227-94787d1e90aa
句  其一七,張舜民,json/poet.song.47000.json,a4fe5155-24f8-50ae-bb74-d2b00e75b11a
句  其一八,張舜民,json/poet.song.47000.json,222adab4-b2f2-5a62-ab34-f50c791652d4
句  其一九,張舜民,json/poet.song.47000.json,eef6c826-27fe-5fb1-bef1-06178fd2281b
句  其二○,張舜民,json/poet.song.47000.json,0e917a3f-f874-5e3b-9bec-acf49ee6d7c8
句  其二一,張舜民,json/poet.song.47000.json,3806764a-7118-5a95-a047-e7b9c2343d3e
句  其二二,張舜民,json/poet.song.47000.json,e8674c74-d41b-5111-bb9d-915a370b60de
句  其二三,張舜民,json/poet.song.47000.json,a8f1ddba-5f6a-5f50-a595-360def5c682d
句  其二四,張舜民,json/poet.song.47000.json,ac9b4625-36f5-5962-b29d-d89eed2f4481
句  其二五,張舜民,json/poet.song.47000.json,05613be9-12bb-53ec-a2db-0808a9cc5e5c
句  其二六,張舜民,json/poet.song.47000.json,5f8163a1-1471-53d7-895f-5207d019eca4
句  其二七,張舜民,json/poet.song.47000.json,7511b037-fc0e-557c-b7d4-d6926cb12e4a
句  其二八,張舜民,json/poet.song.47000.json,5faa5cc0-a2ef-5cae-91a8-cb2895680dfd
句  其二九,張舜民,json/poet.song.47000.json,6a0c457d-bd52-5a4d-8b75-a5d0180a6965
句  其三○,張舜民,json/poet.song.47000.json,3364011b-e4e4-5a0a-a6d2-1db886ef184a
句  其三一,張舜民,json/poet.song.47000.json,2f0ad49f-a9b0-5299-a6f8-986b1c81005c
句  其三二,張舜民,json/poet.song.47000.json,5822e11d-bdd6-5b9b-b46c-ab6efdecf6d2
句  其三三,張舜民,json/poet.song.47000.json,d749cfa7-68c0-5f48-9fd7-5caa475d99a9
句  其三四,張舜民,json/poet.song.47000.json,44bb33af-2a7c-5165-96c9-ac641f34459f
句  其三五,張舜民,json/poet.song.47000.json,bdc74703-a8d6-5b5e-a310-ee99fda5d6f6
句  其三六,張舜民,json/poet.song.47000.json,8755534e-1c98-52af-86e1-5069d84b6c4a
句  其三七,張舜民,json/poet.song.47000.json,c31f620d-c7f9-5727-bb86-516c93c88a2c
句  其三八,張舜民,json/poet.song.47000.json,0844f31e-4ef4-531f-8a37-a823c5e6b97b
句  其三九,張舜民,json/poet.song.47000.json,4fe529b3-4fd6-5e5f-b6c8-0e30744a9daf
句  其四○,張舜民,json/poet.song.47000.json,abc3544d-8cfe-55a8-8a61-a233a22067b5
句  其四一,張舜民,json/poet.song.47000.json,04c73839-312e-5d52-ae28-e23bf4f070ef
句  其四二,張舜民,json/poet.song.47000.json,fd107809-b7b4-5ae3-9d67-7a5d7244d2e3
句  其四三,張舜民,json/poet.song.47000.json,d6dac27a-6f24-5f2c-86eb-68f1b8ef8e36
句  其四四,張舜民,json/poet.song.47000.json,8c453508-1e31-59f0-ba8a-a9122e2b9e8b
句  其四五,張舜民,json/poet.song.47000.json,027edc3f-be19-5a59-b557-1ee4d7844572
句  其四六,張舜民,json/poet.song.47000.json,5f4b2546-ebd4-568a-9468-dc9eef45b8fe
句  其四七,張舜民,json/poet.song.47000.json,da42ce25-cd36-56ef-87b8-5ef3c36ec3d0
句  其四八,張舜民,json/poet.song.47000.json,a8e30739-ed60-56f4-a18c-9fcf6e765b91
句  其四九,張舜民,json/poet.song.47000.json,b9ef0860-edf6-54a8-badd-d4b49501e46f
句  其五○,張舜民,json/poet.song.47000.json,15b0a860-eb8d-527f-8961-caf7cb850d50
句  其五一,張舜民,json/poet.song.47000.json,4f5a358e-4c9f-51aa-aa66-ff2082b2c35f
存目  其一,張舜民,json/poet.song.47000.json,b9d2c58f-3cc4-57b7-9232-3759f3d4c966
存目  其二,張舜民,json/poet.song.47000.json,21188d40-c008-5b12-a14c-6780146f03f8
輓蘇黄門子由  其一,王鞏,json/poet.song.47000.json,29a84d38-6aa3-5b76-b773-caaf005e7eca
輓蘇黄門子由  其二,王鞏,json/poet.song.47000.json,7fa31ae3-0304-50ce-8f4a-67793534e570
輓蘇黄門子由  其三,王鞏,json/poet.song.47000.json,a852592c-2a3a-53e9-9550-6a426d9aa9f1
蕭相樓,王鞏,json/poet.song.47000.json,b861ae6a-04a8-55ad-bdc3-e7eb95f109de
過池陽,王鞏,json/poet.song.47000.json,5f6d8ef6-8a58-5bdb-9daf-423dd35e9a99
寄山谷,王鞏,json/poet.song.47000.json,b480ce4b-6649-50b1-9648-e1d6f16323fc
齊山僧舍,王鞏,json/poet.song.47000.json,c9b3fd0a-91f9-5766-b827-975b9f8a105c
全州捲煙閣,王鞏,json/poet.song.47000.json,3a4dfb9a-66ec-5592-9985-cfce0908739b
湘山,王鞏,json/poet.song.47000.json,a526d696-98d2-5b96-8ff8-027607ad5ec5
寄桂州張諫議和永叔,王鞏,json/poet.song.47000.json,8d050a55-e35b-5dc9-bb06-f657efe8361c
欣欣亭,王鞏,json/poet.song.47000.json,22a0b46b-e652-58aa-aea3-aceed1848eb7
句,王鞏,json/poet.song.47000.json,7afc9e56-5421-5b76-9a50-060e90238724
句,童傳,json/poet.song.47000.json,3ae57db5-2c51-5d41-8c67-02c0ae202caa
句,愈上人,json/poet.song.47000.json,ae70be09-3d8d-57e1-bddc-9f15993eccac
句,王禹錫,json/poet.song.47000.json,1f25f78f-b821-57d7-8371-5cedd86b167d
句,王蘧,json/poet.song.47000.json,37b07436-1182-55c1-96bf-b379bdad2334
和子瞻學士遊祖塔院,釋來復,json/poet.song.47000.json,bd47dc4c-3095-5885-bc0c-db5cb05876ed
和東坡,釋知慎,json/poet.song.47000.json,64e6b9f0-2810-5752-b3f8-f1d28ea12050
冬至祀先有感,趙仲修,json/poet.song.47000.json,c613bc73-a440-520a-93a1-08872da44f0c
車武子宅,王齊愈,json/poet.song.47000.json,42493900-7af8-5a7a-8ac7-cb53cf569cca
竹浦漁歸,石汝礪,json/poet.song.47000.json,0ddcb7db-e536-5f10-9e34-c55953e1d077
頌,崔閑,json/poet.song.47000.json,3e861f45-5501-5a2b-a0b9-63ee622e6e0f
潤州,釋仲殊,json/poet.song.47000.json,7d5734cf-1eb3-5131-a74c-a296510dfee7
題李伯時支遁相馬圖,釋仲殊,json/poet.song.47000.json,0484a2d8-0ae8-5a94-98c9-bd3c453b6ef8
訪子通,釋仲殊,json/poet.song.47000.json,4aca40bd-cc22-5421-9d8f-4e6a1b6f286d
黄左丞席上作,釋仲殊,json/poet.song.47000.json,f4367d6f-9f43-5d4f-b238-ac332859c521
題玉泉,釋仲殊,json/poet.song.47000.json,aeb0fa31-6b99-53b6-a460-4781f3ce0c68
京口懷古  其一,釋仲殊,json/poet.song.47000.json,7c03b070-00a8-596d-8775-3fd21fe76890
京口懷古  其二,釋仲殊,json/poet.song.47000.json,e52a5752-a5d8-5545-975e-2df32ead5696
題洞虛觀,釋仲殊,json/poet.song.47000.json,26ea5a38-1958-5ad7-846f-711f5ed91869
荷花,釋仲殊,json/poet.song.47000.json,082151da-0787-5413-bcce-3064524a54c8
破山光明庵,釋仲殊,json/poet.song.47000.json,e6c675da-96d7-5dd3-836e-04b1e66be52e
望湖亭,釋仲殊,json/poet.song.47000.json,90d31112-e21e-557f-98e3-88af3b3001d2
中峰,釋仲殊,json/poet.song.47000.json,7d6a582c-8577-5f67-89f7-92896ae2902f
題翠麓亭,釋仲殊,json/poet.song.47000.json,d96dc99c-6cd5-565b-8232-08e95d4d897a
題君山洗心堂,釋仲殊,json/poet.song.47000.json,f3c83f76-f134-5e10-8c42-5bb546f69b41
句  其一,釋仲殊,json/poet.song.47000.json,8697772c-b56a-53b3-8386-f3e8ce2fcf63
句  其二,釋仲殊,json/poet.song.47000.json,89ce6d06-2c61-58bd-a317-253ea4e1f7bc
句  其三,釋仲殊,json/poet.song.47000.json,fe801763-acca-58b0-a66e-154ea2dcca08
句  其四,釋仲殊,json/poet.song.47000.json,89590efd-cd2d-55f0-90e1-2ef2b1b8f063
箴仲殊,孚禪師,json/poet.song.47000.json,b4c66682-0411-5af1-8788-d834b75e3046
山光寺,釋法芝,json/poet.song.47000.json,c486423b-6b64-5e3b-9116-83a9c849858c
句,釋法芝,json/poet.song.47000.json,5543b8ee-330b-56ca-8221-5766775567d1
超果教院見遠亭,李甲,json/poet.song.47000.json,290f96c5-4105-5beb-8846-332807f3b5e2
題竹和東坡韵,李甲,json/poet.song.47000.json,935e699a-564f-5e5c-a164-cedd25a67e46
題畫,李甲,json/poet.song.47000.json,d7a13d8e-a778-5672-a393-4de92d249600
醉眠亭,李行中,json/poet.song.47000.json,5918beb8-8caa-5f65-acf8-e2140431815c
寄韓憲仲廷評,李行中,json/poet.song.47000.json,70d06b73-0894-58a9-8884-cc5ccc182708
趙明叔太博未識醉眠亭先貺佳篇,李行中,json/poet.song.47000.json,678eba7e-5e51-5dd7-bb61-cdb374c56c54
讀顔魯公碑,李行中,json/poet.song.47000.json,eef9b541-0ecb-5733-ae07-39df4f7a6ed7
賦佳人嗅梅圖,李行中,json/poet.song.47000.json,df633950-16b7-562b-928f-705e65212cca
江上逢晁適道,崔子方,json/poet.song.47000.json,11c69a81-4d89-5d76-b2b9-0bcc00054883
句,崔子方,json/poet.song.47000.json,88b2c526-e473-51d7-83af-0ab5d9ce0d96
句  其一,李斯立,json/poet.song.47000.json,86ce5ecb-d185-5e91-b2bb-7902b9d39462
句  其二,李斯立,json/poet.song.47000.json,8740526d-b807-56d3-9968-814409ba9cda
上蘇子瞻,釋仲淵,json/poet.song.47000.json,dc1477e4-bf4d-5496-9cad-f2d1b033c1cf
題大慈塢祖塔院,釋惠覺,json/poet.song.47000.json,91f87eea-eeaf-51c5-859c-6d0a38b8150e
句,釋惠覺,json/poet.song.47000.json,5e15717a-a898-5052-bce7-4636c340e86d
句,李伯祥,json/poet.song.47000.json,bb0cb81b-8da6-5f81-872e-3b9cc002562b
詩一首,陳少章,json/poet.song.47000.json,77b99174-a780-5359-8803-26b9ee7273b4
成都運司西園亭詩 西園,許將,json/poet.song.47000.json,2e458efd-b754-5420-8a92-96a5054a0033
成都運司西園亭詩 玉溪堂,許將,json/poet.song.47000.json,451e0102-1cf0-5822-aaba-e5a9639b7c72
成都運司西園亭詩 雪峰樓,許將,json/poet.song.47000.json,fa86f4d1-12b0-542f-a1f3-c9947e138bdb
成都運司西園亭詩 海棠軒,許將,json/poet.song.47000.json,6e610f13-0ed0-554c-b347-02f9755d98c3
成都運司西園亭詩 月臺,許將,json/poet.song.47000.json,ed7eca3f-9407-5b7e-a131-947984374102
成都運司西園亭詩 翠錦亭,許將,json/poet.song.47000.json,bd62245a-014f-5edd-b226-eab8aab2f41a
成都運司西園亭詩 潺玉亭,許將,json/poet.song.47000.json,9c472b3d-84a6-5936-81e6-02c85bb4755c
成都運司西園亭詩 茅庵,許將,json/poet.song.47000.json,96f9e521-de37-5c47-86a9-4190c5111a96
成都運司西園亭詩 水閣,許將,json/poet.song.47000.json,7e70de81-d16f-5b08-9638-ef14f862a9b0
成都運司西園亭詩 小亭,許將,json/poet.song.47000.json,469abe83-8c71-514c-9bc8-3a1ec5578630
遊東山和程大卿師孟,許將,json/poet.song.47000.json,b5e27a1a-2367-571e-ba05-92322c601561
東山碧巌亭,許將,json/poet.song.47000.json,36773a2d-3c3f-5cbf-981e-e02987e27c74
留題徐真君祠堂東西二室,許將,json/poet.song.47000.json,c8331e96-a379-52ba-b6d1-7df065eb098d
留題積善院,許將,json/poet.song.47000.json,1cd8394b-cc83-50c3-9492-32bdf02c2a5a
真珠,許將,json/poet.song.47000.json,62d2ddf3-e29a-5ba2-ae0e-4bdea58fc164
端午帖子,許將,json/poet.song.47000.json,ac70c6f5-3da8-5459-88fa-1cb6ce3dcb06
觀瀾亭,許將,json/poet.song.47000.json,c0a007fe-4916-56c9-aaab-a5ca6fae1785
能仁禪寺,許將,json/poet.song.47000.json,1b1146d5-44d4-5155-88a6-182f499e9bd2
句  其一,許將,json/poet.song.47000.json,e76d339a-2b86-5341-a29e-28f5ac6205f4
句  其二,許將,json/poet.song.47000.json,61482a2a-bcf4-5360-9f2f-1ea24f9c04d4
句  其三,許將,json/poet.song.47000.json,da56d127-d457-5fd8-8e0f-6ba74b183226
吳王城,吳居厚,json/poet.song.47000.json,b6fcf611-f936-5bfc-91c2-66a70b68b7dd
九曲亭,吳居厚,json/poet.song.47000.json,4a78a2b4-c88f-5d47-99f9-fb5d06abfda1
梅山二首  其一,吳居厚,json/poet.song.47000.json,dee887a0-33a9-5eae-9488-f14282cacf54
梅山二首  其二,吳居厚,json/poet.song.47000.json,cc440f9f-0d7d-554a-8b8d-66cbad5ec14e
與部使同遊司空山,吳居厚,json/poet.song.47000.json,d822aa16-f2a6-5225-ad6f-cde91e9a545f
句,吳居厚,json/poet.song.47000.json,27651bef-85cb-5263-8226-b248a194e74c
送程給事知越州,朱肱,json/poet.song.47000.json,46815204-7102-5ca9-875e-e69e1c447045
南池,陳丕,json/poet.song.47000.json,620b18bb-cc72-5b21-86cd-123bb517b1bd
句,陳丕,json/poet.song.47000.json,3cf08c98-45b4-50a7-a06d-01376c029965
送宋承旨歸覲大母劉太夫人,薛似宗,json/poet.song.47000.json,16b55710-2077-518a-9b83-6d772b8dc9d8
戲題團扇自寫山水,薛似宗,json/poet.song.47000.json,16685a1d-e97a-5534-bbc5-6fa19eb029dc
題梅山,張景端,json/poet.song.47000.json,601f4765-fdb6-5c56-a6cc-490b6b1362bd
挽劉南溪,李潛,json/poet.song.47000.json,4d297c5f-c23f-517e-9fe0-8fbcb4f482c8
挽羅斯立,李潛,json/poet.song.47000.json,e2f41d96-5525-5c17-9218-6610e94a238d
宗教院,劉鑄,json/poet.song.47000.json,7868174d-54d6-505b-a737-fe41abb95d06
題竹軒,方洵武,json/poet.song.47000.json,e3644b1e-be43-53fa-a787-bff43d9909b3
題寧國院十全堂,方洵武,json/poet.song.47000.json,05e9e786-5eb6-5077-b7f4-ffcee4f7f123
海棠,張冕,json/poet.song.47000.json,de8a0d2f-9571-59a9-ac66-5271c339ec7d
西園海棠,張冕,json/poet.song.47000.json,e7577d10-53ce-5b42-acdd-990f3833ddc2
貧居,張景脩,json/poet.song.47000.json,29814a3d-e7f1-5545-bdf8-ff202bdca1a9
送朱天錫童子,張景脩,json/poet.song.47000.json,23c3c9fc-7d1f-5b41-b7e3-b731276667a8
睡香花,張景脩,json/poet.song.47000.json,4e829067-398c-5114-84c3-11de1090373e
宿清溪安樂山,張景脩,json/poet.song.47000.json,42f56f35-08d8-5826-81d3-e40f66ef2201
過桐廬邑二首  其一,張景脩,json/poet.song.47000.json,81d475b9-0c68-5acc-9db8-2a8305826109
過桐廬邑二首  其二,張景脩,json/poet.song.47000.json,c99b9216-0b56-5320-b708-17e003c80c19
釣臺,張景脩,json/poet.song.47000.json,0034e893-dc75-5ff5-a974-10b402f3c3a6
清芬閣,張景脩,json/poet.song.47000.json,0154d640-ee32-52e1-a107-155a3614b5fe
題永慶覽勝亭,張景脩,json/poet.song.47000.json,fda5216e-7f96-525e-809e-d8360398d0c4
題北山松軒,張景脩,json/poet.song.47000.json,6e77b032-669b-5c80-8267-69169ecc49cc
題竹軒,張景脩,json/poet.song.47000.json,b896bc35-d7e3-59fb-870f-389223fd6100
題玉泉,張景脩,json/poet.song.47000.json,56d84ed0-f17c-5913-9ec5-7980d6deb6f8
遊栖霞宮,張景脩,json/poet.song.47000.json,aff37160-caf7-5333-b29a-6de191cdebef
題寧國縣十全堂,張景脩,json/poet.song.47000.json,0577b1fb-76c9-564a-94ef-03405ba86787
寄題開福院白蓮堂,張景脩,json/poet.song.47000.json,da4c4ed5-a019-57bc-b4a6-f625ba664025
題無垢寺,張景脩,json/poet.song.47000.json,be0fc7a4-47f4-5e8c-8809-5068b980256d
福應山,張景脩,json/poet.song.47000.json,53a57a8a-32ee-5519-b5ce-51e16ac5cabf
三賢堂,張景脩,json/poet.song.47000.json,3b4fe7ad-4296-5d68-a9d8-6f677038e9bf
崇教寺筠軒,張景脩,json/poet.song.47000.json,3bd86e81-120d-5664-a2a6-a7982850794e
石橋,張景脩,json/poet.song.47000.json,331735a9-7642-570a-b366-07b4b8bbc5d3
醉眠亭,張景脩,json/poet.song.47000.json,87cc995d-0bad-5add-9ad9-bc0040a7178f
寄湖南憲請祠葉公,張景脩,json/poet.song.47000.json,e3231915-3dd5-5b42-9dd9-5103817981b6
遊九鎖山,張景脩,json/poet.song.47000.json,fb57520c-8d32-50f5-af15-c52c79a16783
九月望夜與詩僧可久泛西湖,張景脩,json/poet.song.47000.json,cbf89213-3926-510c-bd6f-2a5d3d58a963
湖州覺海彌陀閣,張景脩,json/poet.song.47000.json,d31465e2-f903-5e33-b8fa-1b29254b53cb
更高亭,張景脩,json/poet.song.47000.json,903c924e-1e57-54f1-aeb8-836d018a21bc
延真秋屏軒,張景脩,json/poet.song.47000.json,5b1c185a-1042-5d0a-8289-2447f1c37f9c
句  其一,張景脩,json/poet.song.47000.json,938b51ec-5f70-516f-b2e6-15987d3cc3ca
句  其二,張景脩,json/poet.song.47000.json,680c3381-b3b0-5c6e-86a3-2aa08ddd5e69
句  其三,張景脩,json/poet.song.47000.json,d84b9226-4e88-5ea0-8e4d-08d9494b6bdd
句  其四,張景脩,json/poet.song.47000.json,8057d381-0bae-5aec-b0ee-b60295d1af31
句  其五,張景脩,json/poet.song.47000.json,fe1287f6-d509-5712-a119-eb5b7c6a1781
句  其六,張景脩,json/poet.song.47000.json,e5011ef3-2ffa-52a8-88e5-2a042526c46b
句  其七,張景脩,json/poet.song.47000.json,bd08b46a-e4e5-5410-8573-278338a858e8
和張敏叔祠部壓雲軒韵,朱穀,json/poet.song.47000.json,c9423fc5-31a4-5ea8-901a-08fc92c19817
贈僧宗佑,黄彥臣,json/poet.song.47000.json,0e450a0c-8c99-51aa-abc6-87bc22c4b258
句,伍誥,json/poet.song.47000.json,b79165ba-de50-5f31-a3bb-01a114709386
因公檄按游黄山,吳黯,json/poet.song.47000.json,44471da6-e8db-58d8-9c1a-29857389b1fb
芙蓉嶺,吳黯,json/poet.song.47000.json,e46a62c7-fe97-5db9-9456-ca59ee5754b4
久旱微雨,江公著,json/poet.song.47000.json,3d49d8ed-2b76-5925-b3ae-e86bd98ae716
玉泉庵,江公著,json/poet.song.47000.json,de20cc41-156c-560c-83f6-d9dec87b52a0
句,查應辰,json/poet.song.47000.json,df773f60-76d9-517e-ac41-281c972f1e61
句,黄康民,json/poet.song.47000.json,9bbd5d81-a825-5e08-bc3c-5a77a16e4e88
成都運司園亭十首 西園,楊怡,json/poet.song.47000.json,0fbdfaf7-12fa-5673-80be-850f8714ece2
成都運司園亭十首 玉谿堂,楊怡,json/poet.song.47000.json,503081f5-fc6e-5513-90f6-48603efc5e5f
成都運司園亭十首 雪峰樓,楊怡,json/poet.song.47000.json,0d4c184a-d834-5243-baef-f1936a1048de
成都運司園亭十首 海棠軒,楊怡,json/poet.song.47000.json,df2732ff-1aed-5db3-a54d-5d66d2c009ac
成都運司園亭十首 月臺,楊怡,json/poet.song.47000.json,adc43f51-137a-5072-a24e-8991e13394fc
成都運司園亭十首 翠錦亭,楊怡,json/poet.song.47000.json,0d919da0-98de-580a-9f57-58e4b589fef4
成都運司園亭十首 潺玉亭,楊怡,json/poet.song.47000.json,58c9bd8e-96b4-5661-ae76-757878bccfda
成都運司園亭十首 茅庵,楊怡,json/poet.song.47000.json,42c8d6b0-f142-579d-954a-2f5f7236d7fe
成都運司園亭十首 水閣,楊怡,json/poet.song.47000.json,177159e0-7ce1-525a-894e-5470043a51cc
成都運司園亭十首 小亭,楊怡,json/poet.song.47000.json,c02e4e0d-1e81-581a-83dd-4ed2e6c4fa06
句,羅尚友,json/poet.song.47000.json,c78d6ffb-b561-5d1e-a36d-68c0f95fbb88
居茅山作,劉誼,json/poet.song.47000.json,6f2f2e6b-4ca0-5c4f-92fd-4560dc8340b5
郎官湖,劉誼,json/poet.song.47000.json,1ec5f89d-655c-59aa-97ad-bced534990e3
題黄山溫泉,劉誼,json/poet.song.47000.json,4a9992cd-e7dc-531f-afab-2d0136d0ca91
遊曾公巌,劉誼,json/poet.song.47000.json,a4dbc9fd-b85c-58a2-8cd0-380b554200b1
留題融州老君巌  其一,劉誼,json/poet.song.47000.json,51d7d29e-94a5-5cf8-b31d-f589c070e693
留題融州老君巌  其二,劉誼,json/poet.song.47000.json,04797cdb-a72d-5305-80f8-5ff9e3ac7c19
句  其一,劉誼,json/poet.song.47000.json,73ca4292-3f78-5be5-98e8-c50ecbf0b0ed
句  其二,劉誼,json/poet.song.47000.json,2deef866-2388-5dcd-84c2-adcd014bb679
